s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.8481,0.62,0.7,0.6,0.0597,1.0,3.125,0.0373,-0.144,2,-0.0304,0.7468,0.62,0.7,0.6,0.0678,1.0,3.125,0.0424,-0.1927,False,-0.0629
0.0732,0.84,0.45,0.95,31.3333,3.0,0.0851,3.5,0.0,2,-1.1683,0.0,0.84,0.45,0.95,1.0,3.0,0.0851,1.0,-0.8289,True,-1.1683
0.0294,0.6,0.75,0.8,1.0,0.5,13.5,6.5,-0.0893,2,0.2,0.0294,0.6,0.75,0.8,1.0,0.5,13.5,6.5,-0.3164,True,0.2
0.8909,0.06,0.65,0.6,0.2653,2.0,0.7308,0.1122,0.4931,0,-0.0545,0.7091,0.06,0.65,0.6,0.3333,2.0,0.7308,0.141,0.2753,False,-0.0027
0.4091,0.76,0.6,0.75,1.6667,1.0,0.2333,0.3056,0.0,0,0.0545,0.25,0.76,0.6,0.75,1.3636,1.0,0.4667,0.5,0.5628,False,0.8064
0.3265,0.6,0.35,0.7,1.25,0.6,0.25,0.2188,0.1971,0,0.0796,0.3061,0.6,0.35,0.7,0.4,0.6,0.8333,0.2333,0.3525,False,0.6261
0.3023,0.04,0.35,0.8,5.0769,1.2,0.0909,0.3462,-0.3101,0,0.0,0.3023,0.04,0.35,0.8,5.0769,1.2,0.0909,0.3462,-0.4739,False,0.0265
0.8393,0.46,0.45,0.95,1.0426,1.7,0.2347,0.117,-0.4108,0,-0.0857,0.4464,0.46,0.45,0.95,1.72,1.7,0.2674,0.22,0.1504,False,-1.0332
0.4474,0.54,0.3,0.65,1.1176,0.75,0.4737,0.3824,-0.5043,1,-0.0803,0.1053,0.54,0.3,0.65,4.75,0.75,0.4737,1.625,-0.7212,False,0.1097
0.6944,0.7,0.4,0.65,0.84,0.7143,0.381,0.26,0.0,0,0.0,0.6944,0.7,0.4,0.65,0.84,0.7143,0.381,0.26,-0.5244,False,-1.0516
0.625,0.64,0.35,0.85,4.1,3.3333,0.0488,0.25,-0.5407,0,-0.0625,0.2917,0.64,0.35,0.85,8.3571,3.3333,0.0513,0.5357,-0.1525,False,-0.0625
0.7069,0.66,0.35,0.55,0.8049,1.5,0.1515,0.0854,0.0,0,0.0362,0.6897,0.66,0.35,0.55,0.625,1.5,0.2,0.0875,0.7149,False,0.1232
0.8841,0.76,0.65,0.7,0.7377,3.5,0.2111,0.0902,0.0,0,-0.0652,0.6667,0.76,0.65,0.7,0.9783,3.5,0.2111,0.1196,-0.3657,False,0.0484
0.0968,0.52,0.6,0.75,0.3333,2.0,13.5,3.1667,0.6322,2,-1.0484,0.0,0.52,0.6,0.75,1.0,2.0,13.5,1.0,0.0443,True,-1.0484
0.8983,0.34,0.2,0.8,1.3962,2.1667,0.0676,0.1226,-0.569,0,-0.0508,0.7288,0.34,0.2,0.8,1.7209,2.1667,0.0676,0.1512,-0.5989,False,-0.1318
0.6863,0.92,0.65,0.65,0.7143,1.5,0.5,0.1286,0.0,0,0.0059,0.6863,0.92,0.65,0.65,0.6857,1.5,0.5208,0.1286,0.6446,False,-0.0906
